"idetudiant";"nom";"prenom";"civilite";"date_naissance";"lieu_naissance";"dept_naissance";"nationalite";"email";"emailperso";"domicile";"codepostaldomicile";"villedomicile";"paysdomicile";"telephone";"telephonemobile";"typeadresse";"boursier";"idadmission";"anneeadmission";"bac";specialite;"annee_bac";"math";"physique";"anglais";"francais";codelycee;"nomlycee";"villelycee";"codepostallycee"
381;Monnet;Mathis;M;1999-01-31;Montpellier;Hérault;France;mathis.monnet@etu.umontpellier.fr;mathis.monnet@gmail.com;"16 Rue Tolosa";"34290";Servian;France;"06.34.61.16.20";"06.72.95.65.98";domicile;false;398;2018;STI2D;;;;;;;;;;
412;Thiery;Nolan;M;2000-02-18;Montpellier;Hérault;France;nolan.thiery@etu.umontpellier.fr;nolan.thiery@gmail.com;"12BIS Rue du Lantissargues";"34070";Montpellier;France;"06.70.36.24.00";"06.14.80.72.19";domicile;false;355;2018;S;;;;;;;;;;
430;Serre;Julien;M;2000-11-06;Montpellier;Hérault;France;julien.serre@etu.umontpellier.fr;julien.serre@gmail.com;"11A Avenue Saint-Saëns";"34410";Sauvian;France;"06.56.77.55.57";"06.24.96.99.71";domicile;false;356;2018;S;;;;;;;;;;
404;Ribeiro;Antoine;M;1995-09-12;Montpellier;Hérault;France;antoine.ribeiro@etu.umontpellier.fr;antoine.ribeiro@gmail.com;"13 Rue de l'Anguialés";"34490";Causses-et-Veyran;France;"06.27.94.41.20";"06.04.92.29.42";domicile;false;357;2018;"0034";;;;;;;;;;
395;Roussel;Jules;M;2000-07-08;Montpellier;Hérault;France;jules.roussel@etu.umontpellier.fr;jules.roussel@gmail.com;"5 Impasse du Trianon";"34070";Montpellier;France;"06.72.11.80.03";"06.78.31.06.07";domicile;false;358;2018;S;;;;;;;;;;
394;Peron;Pierre;M;1999-12-22;Montpellier;Hérault;France;pierre.peron@etu.umontpellier.fr;pierre.peron@gmail.com;"25 Rue de l'Oliveraie";"34660";Cournonsec;France;"06.00.92.43.54";"06.07.56.22.87";domicile;false;395;2018;STI2D;;;;;;;;;;
439;Delaunay;Anthony;M;2000-03-08;Montpellier;Hérault;France;anthony.delaunay@etu.umontpellier.fr;anthony.delaunay@gmail.com;"283 Rue du Taste-Vin";"34500";Béziers;France;"06.55.37.90.70";"06.39.20.82.92";domicile;false;359;2018;S;;;;;;;;;;
48;Roussel;Louna;F;2000-12-07;Montpellier;Hérault;France;louna.roussel@etu.umontpellier.fr;louna.roussel@gmail.com;"25 Route de Mailhac";"34210";Oupia;France;"06.84.13.28.24";"06.04.75.10.64";domicile;false;360;2018;S;;;;;;;;;;
431;Morand;Maxence;M;2001-02-15;Montpellier;Hérault;France;maxence.morand@etu.umontpellier.fr;maxence.morand@gmail.com;"321 Chemin des Clapasses";"34160";Galargues;France;"06.12.23.57.43";"06.76.23.41.42";domicile;false;361;2018;S;;;;;;;;;;
413;Maurice;Adrien;M;2000-09-07;Montpellier;Hérault;France;adrien.maurice@etu.umontpellier.fr;adrien.maurice@gmail.com;"4 Rue de la Roveraie";"34130";Saint-Aunès;France;"06.94.94.99.24";"06.09.29.09.13";domicile;false;362;2018;S;;;;;;;;;;
422;Dupuis;Antoine;M;2001-02-06;Montpellier;Hérault;France;antoine.dupuis@etu.umontpellier.fr;antoine.dupuis@gmail.com;"3A Allée des Mûriers";"34380";Saint-Martin-de-Londres;France;"06.10.65.89.47";"06.73.64.87.05";domicile;false;363;2018;S;;;;;;;;;;
405;Moreno;Hugo;M;2000-06-22;Montpellier;Hérault;France;hugo.moreno@etu.umontpellier.fr;hugo.moreno@gmail.com;"15TER Quai Commandant Réveille";"34300";Agde;France;"06.89.08.68.10";"06.97.35.22.76";domicile;false;364;2018;STI;;;;;;;;;;
414;Guillemin;Constant;M;2000-02-14;Montpellier;Hérault;France;constant.guillemin@etu.umontpellier.fr;constant.guillemin@gmail.com;"5 Lotissement le Lucias";"34790";Grabels;France;"06.19.09.01.06";"06.41.38.49.20";domicile;false;365;2018;S;;;;;;;;;;
385;Laporte;Léonard;M;2000-08-05;Montpellier;Hérault;France;léonard.laporte@etu.umontpellier.fr;léonard.laporte@gmail.com;"170 Avenue Jean Moulin";"34290";Montblanc;France;"06.70.62.25.92";"06.06.20.36.51";domicile;false;366;2018;S;;;;;;;;;;
432;Texier;Aaron;M;2000-09-25;Montpellier;Hérault;France;aaron.texier@etu.umontpellier.fr;aaron.texier@gmail.com;"5 Rue Lamartine";"34110";Mireval;France;"06.12.92.19.81";"06.58.85.36.84";domicile;;;;;;;;;;;;;;
423;Laporte;Benjamin;M;1999-06-30;Montpellier;Hérault;France;benjamin.laporte@etu.umontpellier.fr;benjamin.laporte@gmail.com;"6 Rue du Moulin à Huile";"34210";Aigne;France;"06.85.76.89.98";"06.24.79.79.33";domicile;;;;;;;;;;;;;;
406;Granger;Dorian;M;2000-06-19;Montpellier;Hérault;France;dorian.granger@etu.umontpellier.fr;dorian.granger@gmail.com;"5 Rue Foch";"34000";Montpellier;France;"06.26.23.77.09";"06.20.44.63.87";domicile;false;369;2018;S;;;;;;;;;;
396;Thiery;Lorenzo;M;1999-09-09;Montpellier;Hérault;France;lorenzo.thiery@etu.umontpellier.fr;lorenzo.thiery@gmail.com;"8 Rue des Balances";"34740";Vendargues;France;"06.75.24.17.19";"06.74.18.28.45";domicile;false;370;2018;S;;;;;;;;;;
447;Husson;Adrian;M;2000-10-19;Montpellier;Hérault;France;adrian.husson@etu.umontpellier.fr;adrian.husson@gmail.com;"20 Rue des Écoles Laïques";"34000";Montpellier;France;"06.40.79.40.22";"06.90.37.39.09";domicile;false;371;2018;S;;;;;;;;;;
455;Rousset;Enzo;M;1999-03-15;Montpellier;Hérault;France;enzo.rousset@etu.umontpellier.fr;enzo.rousset@gmail.com;"12 Résidence le Turenne";"34570";Pignan;France;"06.89.10.11.16";"06.95.69.08.98";domicile;false;372;2018;S;;;;;;;;;;
433;Guillet;Léo;M;2000-02-03;Montpellier;Hérault;France;léo.guillet@etu.umontpellier.fr;léo.guillet@gmail.com;"4 Impasse du Sauvignon";"34480";Magalas;France;"06.24.95.18.94";"06.77.76.22.31";domicile;false;373;2018;S;;;;;;;;;;
442;Lecoq;Erwan;M;1999-09-24;Montpellier;Hérault;France;erwan.lecoq@etu.umontpellier.fr;erwan.lecoq@gmail.com;"21 Rue des Aires";"34160";Saussines;France;"06.42.93.63.47";"06.56.33.89.29";domicile;false;394;2018;STI2D;;;;;;;;;;
386;Peltier;Cédric;M;2000-03-16;Montpellier;Hérault;France;cédric.peltier@etu.umontpellier.fr;cédric.peltier@gmail.com;"12 Rue du Pressoir";"34370";Creissan;France;"06.32.74.36.15";"06.35.97.51.60";domicile;false;374;2018;S;;;;;;;;;;
397;Lefort;Erwan;M;1998-01-02;Montpellier;Hérault;France;erwan.lefort@etu.umontpellier.fr;erwan.lefort@gmail.com;"19 Rue de l'Église";"34230";Saint-Pargoire;France;"06.66.13.15.15";"06.54.69.32.37";domicile;false;375;2018;S;;;;;;;;;;
387;Gautier;Constant;M;2000-07-18;Montpellier;Hérault;France;constant.gautier@etu.umontpellier.fr;constant.gautier@gmail.com;"2 Impasse du Castel";"34600";Villemagne-l'Argentière;France;"06.51.93.99.13";"06.48.36.96.42";domicile;false;376;2018;S;;;;;;;;;;
434;Ferry;Roméo;M;2000-01-02;Montpellier;Hérault;France;roméo.ferry@etu.umontpellier.fr;roméo.ferry@gmail.com;"235 Chemin des Pins";"34170";Castelnau-le-Lez;France;"06.13.08.56.16";"06.36.70.79.53";domicile;false;377;2018;S;;;;;;;;;;
451;Etienne;Timéo;M;2000-12-12;Montpellier;Hérault;France;timéo.etienne@etu.umontpellier.fr;timéo.etienne@gmail.com;"28 Rue Honoré Muratet";"34300";Agde;France;"06.84.05.12.54";"06.37.95.52.32";domicile;false;378;2018;S;;;;;;;;;;
438;Lombard;Florian;M;1999-10-30;Montpellier;Hérault;France;florian.lombard@etu.umontpellier.fr;florian.lombard@gmail.com;"302 Rue Adrien Proby";"34090";Montpellier;France;"06.39.93.49.56";"06.07.91.09.03";domicile;false;403;2018;STI2D;;;;;;;;;;
415;Merle;Timothée;M;2000-06-16;Montpellier;Hérault;France;timothée.merle@etu.umontpellier.fr;timothée.merle@gmail.com;"3 Rue des Lilas";"34300";Agde;France;"06.61.19.82.56";"06.30.28.26.80";domicile;false;379;2018;S;;;;;;;;;;
416;Leblanc;Esteban;M;1999-11-10;Montpellier;Hérault;France;esteban.leblanc@etu.umontpellier.fr;esteban.leblanc@gmail.com;"46 Rue Maréchal Foch";"34290";Montblanc;France;"06.50.18.41.86";"06.53.36.10.71";domicile;false;381;2018;S;;;;;;;;;;
435;Lelievre;Benjamin;M;2000-01-26;Montpellier;Hérault;France;benjamin.lelievre@etu.umontpellier.fr;benjamin.lelievre@gmail.com;"195 Avenue du Nouveau Monde";"34160";Campagne;France;"06.51.71.38.63";"06.24.82.88.24";domicile;false;382;2018;S;;;;;;;;;;
398;Marin;Colin;M;2000-10-31;Montpellier;Hérault;France;colin.marin@etu.umontpellier.fr;colin.marin@gmail.com;"181 Allée des Viticulteurs";"34570";Montarnaud;France;"06.53.09.30.94";"06.68.68.44.90";domicile;false;383;2018;S;;;;;;;;;;
456;Lejeune;Samuel;M;1999-01-08;Montpellier;Hérault;France;samuel.lejeune@etu.umontpellier.fr;samuel.lejeune@gmail.com;"9 Rue des Courbezon";"34260";La Tour-sur-Orb;France;"06.61.98.18.19";"06.43.29.40.53";domicile;false;384;2018;S;;;;;;;;;;
388;Ferrand;Aaron;M;2001-06-08;Montpellier;Hérault;France;aaron.ferrand@etu.umontpellier.fr;aaron.ferrand@gmail.com;"5 Avenue de Tourbes";"34120";Nézignan-l'Évêque;France;"06.30.70.63.06";"06.71.46.57.46";domicile;false;385;2018;S;;;;;;;;;;
403;Boulet;Romain;M;1999-04-29;Montpellier;Hérault;France;romain.boulet@etu.umontpellier.fr;romain.boulet@gmail.com;"9 Impasse La Closerie des Oliviers";"34730";Prades-le-Lez;France;"06.89.12.00.98";"06.07.61.31.78";domicile;false;401;2018;STI2D;;;;;;;;;;
417;Meunier;Hugo;M;1999-06-29;Montpellier;Hérault;France;hugo.meunier@etu.umontpellier.fr;hugo.meunier@gmail.com;"1080 Route de Beaulieu";"34160";Saint-Drézéry;France;"06.08.65.03.59";"06.56.31.31.12";domicile;false;386;2018;S;;;;;;;;;;
589;Thomas;Malo;M;2000-12-12;Montpellier;Hérault;France;malo.thomas@etu.umontpellier.fr;malo.thomas@gmail.com;"11 Avenue de la Méditerranée";"34630";Saint-Thibéry;France;"06.06.40.82.67";"06.90.50.14.28";domicile;false;406;2018;TI2D;;;;;;;;;;
445;Granger;Thibault;M;2000-10-10;Montpellier;Hérault;France;thibault.granger@etu.umontpellier.fr;thibault.granger@gmail.com;"3970F Les Castans";"34490";Murviel-lès-Béziers;France;"06.11.52.77.59";"06.87.79.19.52";domicile;false;387;2018;S;;;;;;;;;;
407;Martel;Kyllian;M;2000-02-07;Montpellier;Hérault;France;kyllian.martel@etu.umontpellier.fr;kyllian.martel@gmail.com;"393 Résidence Parc Loisir Horizon Bleu";"34350";Vendres;France;"06.45.26.78.15";"06.34.96.64.70";domicile;false;388;2018;S;;;;;;;;;;
425;Texier;Samuel;M;2000-05-30;Montpellier;Hérault;France;samuel.texier@etu.umontpellier.fr;samuel.texier@gmail.com;"5 Rue de la Campagne Daudet";"34630";Saint-Thibéry;France;"06.80.75.63.40";"06.24.04.72.95";domicile;false;478;2018;TI2D;;;;;;;;;;
436;Joly;Mattéo;M;2000-09-07;Montpellier;Hérault;France;mattéo.joly@etu.umontpellier.fr;mattéo.joly@gmail.com;"120 Rue de la Glacière";"34380";Saint-Martin-de-Londres;France;"06.63.00.34.86";"06.21.32.55.14";domicile;false;389;2018;S;;;;;;;;;;
399;Mathieu;Romain;M;2000-07-24;Montpellier;Hérault;France;romain.mathieu@etu.umontpellier.fr;romain.mathieu@gmail.com;"3 Route de Béziers";"34550";Bessan;France;"06.57.54.95.79";"06.25.03.28.66";domicile;false;390;2018;S;;;;;;;;;;
408;Barre;Davy;M;2000-01-01;Montpellier;Hérault;France;davy.barre@etu.umontpellier.fr;davy.barre@gmail.com;"61 Rue de la Brèche";"34750";Villeneuve-lès-Maguelone;France;"06.95.29.50.23";"06.53.09.35.58";domicile;false;391;2018;S;;;;;;;;;;
426;Rodriguez;Pierre;M;2000-03-31;Montpellier;Hérault;France;pierre.rodriguez@etu.umontpellier.fr;pierre.rodriguez@gmail.com;"246 Rue de l'Industrie";"34400";Lunel;France;"06.46.92.61.77";"06.86.61.66.20";domicile;false;392;2018;S;;;;;;;;;;
461;Roussel;Ethan;M;2000-09-07;Montpellier;Hérault;France;ethan.roussel@etu.umontpellier.fr;ethan.roussel@gmail.com;"236 Avenue Achille Duchène";"34080";Montpellier;France;"06.77.12.20.84";"06.59.35.78.53";domicile;false;417;2018;STI2D;;;;;;;;;;
440;Villain;Thomas;M;1999-09-06;Montpellier;Hérault;France;thomas.villain@etu.umontpellier.fr;thomas.villain@gmail.com;"6 Impasse Georges Mandel";"34920";Le Crès;France;"06.58.07.31.95";"06.56.08.66.97";domicile;false;3;2018;S;;;;;;;;;;
389;Lopes;Jordan;M;2001-02-13;Montpellier;Hérault;France;jordan.lopes@etu.umontpellier.fr;jordan.lopes@gmail.com;"1 Rue des Écoles";"34230";Bélarga;France;"06.85.60.56.18";"06.47.03.10.57";domicile;false;21;2018;STI2D;;;;;;;;;;
125;Rousset;Kylian;M;1999-12-27;Montpellier;Hérault;France;kylian.rousset@etu.umontpellier.fr;kylian.rousset@gmail.com;"42 Route de Saint-Privat";"34700";Saint-Jean-de-la-Blaquière;France;"06.38.25.54.32";"06.14.90.93.06";domicile;false;59;2018;STI2D;;;;;;;;;;
49;Germain;Jade;F;2001-01-18;Montpellier;Hérault;France;jade.germain@etu.umontpellier.fr;jade.germain@gmail.com;"42 Rue Tatius";"34070";Montpellier;France;"06.42.57.98.85";"06.25.77.49.31";domicile;false;4;2018;S;;;;;;;;;;
418;Coulon;Erwan;M;1988-09-02;Montpellier;Hérault;France;erwan.coulon@etu.umontpellier.fr;erwan.coulon@gmail.com;"120 Rue Georges Cuvier";"34090";Montpellier;France;"06.09.71.82.34";"06.71.00.35.41";domicile;false;60;2018;"0034";;;;;;;;;;
45;Jacques;Lucie;F;1998-04-06;Montpellier;Hérault;France;lucie.jacques@etu.umontpellier.fr;lucie.jacques@gmail.com;"25 Rue Robespierre";"34590";Marsillargues;France;"06.75.61.64.47";"06.98.54.20.02";domicile;false;65;2018;S;;;;;;;;;;
448;Voisin;Baptiste;M;2000-10-06;Montpellier;Hérault;France;baptiste.voisin@etu.umontpellier.fr;baptiste.voisin@gmail.com;"3 Rue du Perdigal";"34820";Teyran;France;"06.74.95.43.81";"06.46.97.44.45";domicile;false;66;2018;S;;;;;;;;;;
409;Lejeune;Thomas;M;2000-07-09;Montpellier;Hérault;France;thomas.lejeune@etu.umontpellier.fr;thomas.lejeune@gmail.com;"97 Chemin des Perdigaos";"34400";Lunel;France;"06.04.28.69.08";"06.36.14.70.05";domicile;false;67;2018;S;;;;;;;;;;
373;Baron;Mael;M;1998-09-02;Montpellier;Hérault;France;mael.baron@etu.umontpellier.fr;mael.baron@gmail.com;"3 Rue du Clauzel";"34310";Quarante;France;"06.19.52.24.71";"06.95.25.18.95";domicile;false;69;2018;"0021";;;;;;;;;;
401;Descamps;Jordan;M;2000-06-03;Montpellier;Hérault;France;jordan.descamps@etu.umontpellier.fr;jordan.descamps@gmail.com;"43 Lieu Dit le Rey";"34270";Valflaunès;France;"06.27.72.46.94";"06.22.74.61.68";domicile;false;70;2018;S;;;;;;;;;;
437;Jacques;Lucas;M;1999-01-03;Montpellier;Hérault;France;lucas.jacques@etu.umontpellier.fr;lucas.jacques@gmail.com;"5 Soulagets";"34520";Saint-Maurice-Navacelles;France;"06.11.03.94.14";"06.25.25.09.42";domicile;false;107;2018;S;;;;;;;;;;
390;Lacoste;Simon;M;2000-04-08;Montpellier;Hérault;France;simon.lacoste@etu.umontpellier.fr;simon.lacoste@gmail.com;"17 Rue de la Gloriette";"34560";Villeveyrac;France;"06.99.73.65.78";"06.89.57.83.28";domicile;false;168;2018;S;;;;;;;;;;
400;Moulin;Nathan;M;2000-10-18;Montpellier;Hérault;France;nathan.moulin@etu.umontpellier.fr;nathan.moulin@gmail.com;"12 Grand Rue";"34980";Saint-Gély-du-Fesc;France;"06.91.43.44.08";"06.19.22.91.94";domicile;false;419;2018;STI2D;;;;;;;;;;
419;Mangin;Timothée;M;1999-09-01;Montpellier;Hérault;France;timothée.mangin@etu.umontpellier.fr;timothée.mangin@gmail.com;"15BIS Avenue Albert Schweitzer";"34110";Frontignan;France;"06.64.73.42.44";"06.56.94.40.72";domicile;false;180;2018;S;;;;;;;;;;
457;Chauveau;Malo;M;2000-06-23;Montpellier;Hérault;France;malo.chauveau@etu.umontpellier.fr;malo.chauveau@gmail.com;"339 Chemin Rural 151";"34500";Béziers;France;"06.52.17.94.85";"06.38.88.01.13";domicile;false;275;2018;S;;;;;;;;;;
402;Combes;Dorian;M;2000-12-26;Montpellier;Hérault;France;dorian.combes@etu.umontpellier.fr;dorian.combes@gmail.com;"7 Lotissement le Patus";"34270";Le Triadou;France;"06.38.06.62.58";"06.54.51.67.09";domicile;false;407;2018;S;;;;;;;;;;
410;Gilles;Mathéo;M;1997-08-24;Montpellier;Hérault;France;mathéo.gilles@etu.umontpellier.fr;mathéo.gilles@gmail.com;"2 Plan de la Chapelle";"34570";Pignan;France;"06.52.66.38.92";"06.53.45.50.64";domicile;false;408;2018;S;;;;;;;;;;
429;Pelletier;Louis;M;1999-07-01;Montpellier;Hérault;France;louis.pelletier@etu.umontpellier.fr;louis.pelletier@gmail.com;"1245 Route de la Rèche";"34540";Balaruc-les-Bains;France;"06.48.77.73.21";"06.12.63.74.57";domicile;false;416;2018;STI2D;;;;;;;;;;
444;Joubert;Gabin;M;2000-09-26;Montpellier;Hérault;France;gabin.joubert@etu.umontpellier.fr;gabin.joubert@gmail.com;"100 Avenue du Maréchal Leclerc";"34070";Montpellier;France;"06.84.49.99.06";"06.02.87.25.89";domicile;false;409;2018;ES;;;;;;;;;;
46;Mahe;Cloé;F;1998-08-09;Montpellier;Hérault;France;cloé.mahe@etu.umontpellier.fr;cloé.mahe@gmail.com;"282 Avenue de la Paix";"34290";Montblanc;France;"06.21.19.92.01";"06.57.65.98.77";domicile;false;410;2018;"0031";;;;;;;;;;
427;Thomas;Killian;M;1999-12-21;Montpellier;Hérault;France;killian.thomas@etu.umontpellier.fr;killian.thomas@gmail.com;"170BIS Rue Thomas Edison";"34400";Lunel;France;"06.02.27.41.65";"06.14.19.51.60";domicile;false;411;2018;S;;;;;;;;;;
590;Michel;Lorenzo;M;2000-02-15;Montpellier;Hérault;France;lorenzo.michel@etu.umontpellier.fr;lorenzo.michel@gmail.com;"10 La rampe";"34390";Vieussan;France;"06.43.23.22.21";"06.31.36.70.58";domicile;false;421;2019;S;;;;;;;;;;
472;Bonhomme;Ethan;M;2001-10-31;Montpellier;Hérault;France;ethan.bonhomme@etu.umontpellier.fr;ethan.bonhomme@gmail.com;"177 Place de la Libération";"34400";Saint-Just;France;"06.02.33.80.99";"06.70.03.73.39";domicile;false;422;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;16.0;12.0;10.0;8.0;;;Béziers;
67;Guillot;Nina;F;2001-01-25;Montpellier;Hérault;France;nina.guillot@etu.umontpellier.fr;nina.guillot@gmail.com;"103 Rue du Rossignol";"34980";Saint-Gély-du-Fesc;France;"06.10.78.29.83";"06.51.56.10.05";domicile;false;423;2019;S;;;14.0;14.0;13.0;9.0;;;AUSTIN;
473;Besnard;Thibault;M;2001-07-08;Montpellier;Hérault;France;thibault.besnard@etu.umontpellier.fr;thibault.besnard@gmail.com;"14 Rue Casimir Péret";"34500";Béziers;France;"06.96.10.73.63";"06.31.63.35.76";domicile;false;424;2019;S;SCIENCES DE L'INGÉNIEUR;;7.0;15.0;19.0;7.0;;;Carcassonne;
508;Lemoine;Florian;M;2001-02-01;Montpellier;Hérault;France;florian.lemoine@etu.umontpellier.fr;florian.lemoine@gmail.com;"215 Rue des Arbousiers";"34700";Lodève;France;"06.06.36.43.44";"06.53.41.52.87";domicile;false;425;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;8.0;9.0;15.0;14.0;;;Clermont-Ferrand;
474;Bouvier;Amine;M;2001-12-29;Montpellier;Hérault;France;amine.bouvier@etu.umontpellier.fr;amine.bouvier@gmail.com;"7 Impasse des Tilleuls";"34500";Béziers;France;"06.47.25.35.84";"06.89.95.26.51";domicile;false;426;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;14.0;11.0;18.0;10.0;;;Montpellier;
574;Gay;Élouan;M;2001-10-03;Montpellier;Hérault;France;élouan.gay@etu.umontpellier.fr;élouan.gay@gmail.com;"1 Rue Jean Moulin";"34450";Vias;France;"06.15.24.40.37";"06.21.31.04.50";domicile;false;427;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;15.0;15.0;17.0;10.0;;;Saint Pierre;
54;Prevot;Laura;F;2001-11-10;Montpellier;Hérault;France;laura.prevot@etu.umontpellier.fr;laura.prevot@gmail.com;"42 Rue Lafayette";"34990";Juvignac;France;"06.50.68.24.45";"06.42.80.74.25";domicile;false;428;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;16.0;16.0;18.0;15.0;;;Saint-Clément-de-Rivière;
475;Lafon;Nolan;M;2000-06-24;Montpellier;Hérault;France;nolan.lafon@etu.umontpellier.fr;nolan.lafon@gmail.com;"28 Chemin des Meunières";"34400";Lunel;France;"06.22.86.88.66";"06.32.62.94.73";domicile;false;429;2019;S;;;13.0;10.0;18.0;15.0;;;Lyon 3e  Arrondissement;
476;Etienne;Léonard;M;1999-12-01;Montpellier;Hérault;France;léonard.etienne@etu.umontpellier.fr;léonard.etienne@gmail.com;"301TER Rue des Fangades";"34160";Boisseron;France;"06.64.92.38.61";"06.46.72.45.33";domicile;false;430;2019;TI2D;;;20.0;13.0;13.0;18.0;;;Autun;
588;Thiery;Alexandre;M;2001-09-21;Montpellier;Hérault;France;alexandre.thiery@etu.umontpellier.fr;alexandre.thiery@gmail.com;"7 Rue du Moulin";"34770";Gigean;France;"06.64.22.57.02";"06.37.75.59.25";domicile;false;551;2019;TI2D;;;12.0;13.0;17.0;10.0;;;L'Isle-sur-la-Sorgue;
582;Legros;Rémi;M;2001-09-01;Montpellier;Hérault;France;rémi.legros@etu.umontpellier.fr;rémi.legros@gmail.com;"28 Place du 11 Novembre 1918";"34490";Lignan-sur-Orb;France;"06.34.99.87.46";"06.54.00.71.96";domicile;false;431;2019;S;SCIENCES DE L'INGÉNIEUR;;8.0;13.0;15.0;9.0;;;Lattes;
477;Rolland;Clément;M;2001-05-14;Montpellier;Hérault;France;clément.rolland@etu.umontpellier.fr;clément.rolland@gmail.com;"8 Rue André Chassefières";"34300";Agde;France;"06.90.42.30.54";"06.16.69.89.25";domicile;false;432;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;18.0;13.0;18.0;9.0;;;Montpellier;
470;Schmidt;Erwan;M;1999-07-18;Montpellier;Hérault;France;erwan.schmidt@etu.umontpellier.fr;erwan.schmidt@gmail.com;"26 Rue André Jolivet";"34410";Sérignan;France;"06.37.45.13.75";"06.94.77.74.66";domicile;false;433;2019;S;;;;;;;;;;
478;Delahaye;Thibault;M;2001-03-29;Montpellier;Hérault;France;thibault.delahaye@etu.umontpellier.fr;thibault.delahaye@gmail.com;"1 Clos d'Odile";"34230";Campagnan;France;"06.65.92.71.61";"06.72.26.97.37";domicile;false;434;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;6.0;11.0;18.0;13.0;;;La Grande-Motte;
495;Leblanc;Titouan;M;2000-12-19;Montpellier;Hérault;France;titouan.leblanc@etu.umontpellier.fr;titouan.leblanc@gmail.com;"55 Montée du Calvaire";"34610";Rosis;France;"06.99.50.53.12";"06.30.28.93.21";domicile;false;435;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;16.0;13.0;10.0;5.0;;;Lunel;
575;Aubry;Mathéo;M;2001-10-27;Montpellier;Hérault;France;mathéo.aubry@etu.umontpellier.fr;mathéo.aubry@gmail.com;"5 Rue des Sorbiers";"34970";Lattes;France;"06.82.23.08.53";"06.05.22.77.42";domicile;false;436;2019;TI2D;;;11.0;10.0;15.0;7.0;;;Alès;
496;Lagarde;Nolan;M;2001-06-11;Montpellier;Hérault;France;nolan.lagarde@etu.umontpellier.fr;nolan.lagarde@gmail.com;"54 Avenue Pierre Sirven";"34530";Montagnac;France;"06.14.63.01.64";"06.28.04.25.16";domicile;false;437;2019;S;SCIENCES DE L'INGÉNIEUR;;7.0;15.0;14.0;8.0;;;Narbonne;
497;Le roy;Guillaume;M;2001-05-24;Montpellier;Hérault;France;guillaume.le roy@etu.umontpellier.fr;guillaume.le roy@gmail.com;"1 Chemin du Cambas";"34980";Montferrier-sur-Lez;France;"06.36.51.01.06";"06.70.53.46.90";domicile;false;438;2019;STMG;;;;;;;;;Montrouge;
498;Maury;Robin;M;2000-11-18;Montpellier;Hérault;France;robin.maury@etu.umontpellier.fr;robin.maury@gmail.com;"25 Avenue du 8 Mai 1945";"34660";Cournonterral;France;"06.26.13.16.34";"06.93.14.51.89";domicile;false;440;2019;S;;;16.0;16.0;16.0;9.0;;;Montpellier;
499;Lopes;Titouan;M;2001-05-25;Montpellier;Hérault;France;titouan.lopes@etu.umontpellier.fr;titouan.lopes@gmail.com;"12 Avenue du Minervois";"34210";Azillanet;France;"06.73.42.38.60";"06.39.30.61.39";domicile;false;441;2019;ES;;;;;;;;;;
480;Lecomte;Hugo;M;2001-04-27;Montpellier;Hérault;France;hugo.lecomte@etu.umontpellier.fr;hugo.lecomte@gmail.com;"29 Grand Rue";"34310";Quarante;France;"06.22.27.72.08";"06.58.09.06.43";domicile;false;443;2019;TI2D;;;20.0;15.0;20.0;9.0;;;Nîmes;
481;Guyon;Thomas;M;2001-05-10;Montpellier;Hérault;France;thomas.guyon@etu.umontpellier.fr;thomas.guyon@gmail.com;"26 Avenue Jeanne d'Arc";"34190";Brissac;France;"06.48.40.66.36";"06.99.69.30.76";domicile;false;444;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;14.0;16.0;12.0;13.0;;;Saint-Clément-de-Rivière;
500;Dumont;Mattéo;M;2000-10-28;Montpellier;Hérault;France;mattéo.dumont@etu.umontpellier.fr;mattéo.dumont@gmail.com;"2 Lotissement les Paros";"34800";Nébian;France;"06.20.14.75.88";"06.53.33.97.65";domicile;false;445;2019;S3;;;13.0;15.0;14.0;10.0;;;Montpellier;
482;Parmentier;Benjamin;M;2000-11-21;Montpellier;Hérault;France;benjamin.parmentier@etu.umontpellier.fr;benjamin.parmentier@gmail.com;"4 Rue du Gua";"34880";Lavérune;France;"06.58.66.21.46";"06.52.73.06.53";domicile;false;446;2019;TI2D;;;17.0;14.0;15.0;9.0;;;Alès;
576;Perrot;Gilbert;M;2000-08-26;Montpellier;Hérault;France;gilbert.perrot@etu.umontpellier.fr;gilbert.perrot@gmail.com;"5 Rue Paul Bonnefoi";"34830";Clapiers;France;"06.89.64.71.97";"06.33.93.81.97";domicile;false;447;2019;ES;;;;;;;;;;
583;Arnaud;Colin;M;2001-03-22;Montpellier;Hérault;France;colin.arnaud@etu.umontpellier.fr;colin.arnaud@gmail.com;"13 Rue du Château d'Eau";"34450";Vias;France;"06.19.41.06.66";"06.44.22.25.72";domicile;false;448;2019;S;SCIENCES DE L'INGÉNIEUR;;14.0;14.0;13.0;4.0;;;Annemasse;
